Membership: Membership Type,Industry,Position,Job Function,Person Account: Mailing Country,Age
Student,,,,United States,22
Graduate Student,Student,Student,Student,United States,23
Student,Student,Student,Student,United States,18
Recent Graduate,Private Research/Test Lab,Other,Scientist,United States,27
Graduate Student,Educational Institution,Research Assistant,Student,United States,27
Student,Student,Student,Student,United States,27
Graduate Student,Engineering Firm,Engineer,Nuclear Engineer,United States,30
Young Member,Educational Institution,Professor,Other,United States,30
Graduate Student,Student,Student,Nuclear Engineer,United States,31
Young Member,Educational Institution,Adjunct/Assistant Professor,Nuclear Engineer,South Korea,35
Established,National Laboratory,Analyst,Nuclear Engineer,United States,38
Established,National Laboratory,Director/Department Head,Nuclear Engineer,United States,40
Established,National Laboratory,Analyst,Scientist,United States,41
Established,Educational Institution,Professor,Educator,Japan,58
Lifetime,Educational Institution,Professor,Nuclear Engineer,China,61
Graduate Student,Student,Student,Student,United States,
Trial,,,,United States,
Young Member,Not Employed,Not Employed,,United States,29
Young Member,Other,Other,Other Engineer,United States,41
Graduate Student,Student,,,United States,
Graduate Student,Active Military,Military Officer,Nuclear Engineer,United States,37
Established,Utility,Other,Health Physicist,United States,52
Established,Consulting Firm,Consultant,Scientist,United States,74
Student,Student,,,United States,18
Student,Student,Student,Student,United States,19
Student,Student,,,United States,21
Student,Student,Student,Student,United States,22
Student,Student,Student,Student,United States,22
Graduate Student,Student,Research Assistant,Nuclear Engineer,United States,24
Graduate Student,Student,Student,Nuclear Engineer,,24
Graduate Student,Student,Research Assistant,Student,United States,26
Student,Student,Student,Nuclear Engineer,United States,27
Young Member,Supplier,Engineer,Nuclear Engineer,United States,31
Young Member,Engineering Firm,Engineer,Nuclear Engineer,Canada,32
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,32
Young Member,Supplier,Director/Department Head,General/Corporate Management,United States,33
Young Member,,,,United States,35
Recent Graduate,National Laboratory,Analyst,Scientist,United States,36
Established,Engineering Firm,Engineer,Nuclear Engineer,United States,38
Established,Engineering Firm,Director/Department Head,Scientist,Italy,41
Established,Utility,Engineer,Other Engineer,United States,42
Recent Graduate,National Laboratory,Engineer,Scientist,United States,43
Established,Utility,Engineer,Other Engineer,United States,49
Established,Manufacturer,Other,General/Corporate Management,United States,50
Established,National Laboratory,Project Manager,Mechanical Engineer,Netherlands,51
Established,National Laboratory,Engineer,Nuclear Engineer,United States,53
Established,Consulting Firm,Engineer,Nuclear Engineer,United States,57
